amount,currency,amountUSD,customer_id,transaction_date,time,location,merchant_details,transaction_id,transaction_type,year,month,day
8978.434,EUR,9786.492,C058,2020-01-12,13:15:47,City9,Merchant28,T00591,withdrawal,2020,1,12
3223.393,USD,3223.393,C031,2020-01-20,17:18:11,City3,Merchant27,T00958,purchase,2020,1,20
722.90845,USD,722.90845,C059,2020-01-21,04:01:58,City5,Merchant27,T00171,purchase,2020,1,21
9356.495,GBP,11882.749,C059,2020-01-26,17:35:21,City4,Merchant28,T00511,purchase,2020,1,26
571.3002,GBP,725.5512,C053,2020-01-26,08:53:14,City10,Merchant22,T00642,withdrawal,2020,1,26
7881.1187,GBP,10009.0205,C041,2020-01-28,20:35:35,City10,Merchant30,T00595,withdrawal,2020,1,28
919.3512,EUR,1002.0928,C000,2020-01-07,02:55:19,City4,Merchant23,T00912,purchase,2020,1,7
894.5288,USD,894.5288,C040,2020-01-09,10:06:35,City1,Merchant27,T00221,purchase,2020,1,9
808.7181,GBP,1027.0719,C090,2020-02-01,18:30:50,City1,Merchant26,T00952,purchase,2020,2,1
3813.7988,EUR,4157.0405,C098,2020-02-22,06:04:32,City5,Merchant22,T00046,purchase,2020,2,22
4128.996,EUR,4500.6055,C094,2020-02-27,03:09:10,City9,Merchant21,T00251,withdrawal,2020,2,27
600.85504,EUR,654.932,C019,2020-02-04,14:13:41,City4,Merchant29,T00067,purchase,2020,2,4
868.26355,GBP,1102.6947,C097,2020-02-04,23:09:44,City8,Merchant28,T00401,purchase,2020,2,4
488.79434,EUR,532.7858,C028,2020-02-05,01:26:28,City8,Merchant30,T00186,purchase,2020,2,5
465.81467,USD,465.81467,C049,2020-02-08,13:36:50,City9,Merchant24,T00093,purchase,2020,2,8
336.90173,GBP,427.8652,C027,2020-02-08,02:22:20,City7,Merchant29,T00756,withdrawal,2020,2,8
677.4833,GBP,860.40375,C089,2020-02-09,12:23:03,City4,Merchant22,T00233,purchase,2020,2,9
89.366936,EUR,97.409966,C031,2020-02-09,16:05:28,City2,Merchant23,T00676,withdrawal,2020,2,9
753.78394,USD,753.78394,C078,2020-03-10,10:36:46,City4,Merchant27,T00695,purchase,2020,3,10
9011.77,GBP,11444.947,C013,2020-03-11,01:51:39,City8,Merchant25,T00276,withdrawal,2020,3,11
714.19934,EUR,778.4773,C093,2020-03-13,14:39:52,City7,Merchant28,T00035,purchase,2020,3,13
4769.674,EUR,5198.9443,C063,2020-03-14,00:05:47,City6,Merchant25,T00566,purchase,2020,3,14
4827.837,USD,4827.837,C076,2020-03-15,18:10:54,City3,Merchant27,T00570,purchase,2020,3,15
295.8158,EUR,322.4392,C025,2020-03-22,13:40:32,City4,Merchant21,T00324,purchase,2020,3,22
655.86926,EUR,714.8975,C078,2020-03-25,15:29:18,City9,Merchant24,T00562,withdrawal,2020,3,25
8344.151,GBP,10597.071,C074,2020-03-06,06:05:50,City3,Merchant29,T00539,purchase,2020,3,6
781.5078,EUR,851.8435,C005,2020-03-09,17:36:17,City9,Merchant22,T00967,withdrawal,2020,3,9
6471.9624,USD,6471.9624,C078,2020-04-18,21:18:12,City10,Merchant29,T00809,purchase,2020,4,18
505.5834,EUR,551.0859,C046,2020-04-19,05:53:25,City6,Merchant27,T00852,purchase,2020,4,19
612.1007,GBP,777.3679,C035,2020-04-20,13:34:21,City3,Merchant23,T00502,withdrawal,2020,4,20
130.17595,EUR,141.89178,C063,2020-04-22,19:34:58,City5,Merchant28,T00179,purchase,2020,4,22
80.73863,EUR,88.00511,C087,2020-04-27,10:08:14,City5,Merchant25,T00488,purchase,2020,4,27
1214.0891,USD,1214.0891,C040,2020-04-28,04:17:05,City7,Merchant26,T00375,purchase,2020,4,28
490.17377,GBP,622.5207,C027,2020-04-08,22:22:47,City7,Merchant29,T00328,purchase,2020,4,8
527.1551,GBP,669.48694,C030,2020-05-10,00:38:23,City8,Merchant28,T00422,withdrawal,2020,5,10
403.0554,USD,403.0554,C011,2020-05-13,22:28:39,City6,Merchant23,T00668,withdrawal,2020,5,13
773.2642,EUR,842.85803,C068,2020-05-14,09:23:16,City6,Merchant27,T00770,purchase,2020,5,14
447.79016,USD,447.79016,C013,2020-05-15,00:18:17,City7,Merchant23,T00683,purchase,2020,5,15
4433.577,EUR,4832.599,C052,2020-05-17,07:33:46,City10,Merchant26,T00462,withdrawal,2020,5,17
935.60785,USD,935.60785,C088,2020-05-24,13:41:54,City7,Merchant21,T00492,withdrawal,2020,5,24
77.64074,USD,77.64074,C091,2020-05-25,12:28:20,City5,Merchant25,T00261,purchase,2020,5,25
449.5402,GBP,570.916,C057,2020-05-25,09:20:58,City7,Merchant29,T00278,withdrawal,2020,5,25
636.16943,GBP,807.9352,C032,2020-05-03,07:15:08,City3,Merchant24,T00799,withdrawal,2020,5,3
4875.2207,USD,4875.2207,C010,2020-05-07,08:27:30,City7,Merchant25,T00543,withdrawal,2020,5,7
436.7276,USD,436.7276,C067,2020-05-07,20:51:30,City9,Merchant26,T00611,purchase,2020,5,7
320.79257,EUR,349.6639,C062,2020-06-14,08:07:15,City4,Merchant29,T00727,purchase,2020,6,14
8370.909,GBP,10631.055,C037,2020-06-18,02:03:15,City1,Merchant26,T00524,withdrawal,2020,6,18
893.08575,USD,893.08575,C040,2020-06-22,16:31:55,City7,Merchant25,T00021,purchase,2020,6,22
2901.5337,USD,2901.5337,C063,2020-06-24,16:53:11,City8,Merchant25,T00117,withdrawal,2020,6,24
3990.863,EUR,4350.0405,C056,2020-06-03,06:00:52,City1,Merchant24,T00956,withdrawal,2020,6,3
9481.119,EUR,10334.42,C071,2020-06-04,04:15:05,City5,Merchant23,T00800,withdrawal,2020,6,4
8186.6255,GBP,10397.015,C067,2020-07-10,00:10:00,City2,Merchant28,T00703,purchase,2020,7,10
169.89677,USD,169.89677,C032,2020-07-13,14:38:36,City9,Merchant29,T00734,purchase,2020,7,13
878.49414,GBP,1115.6875,C089,2020-07-14,20:44:02,City9,Merchant26,T00478,purchase,2020,7,14
645.7271,EUR,703.8425,C070,2020-07-16,22:28:39,City1,Merchant22,T00309,purchase,2020,7,16
4326.541,EUR,4715.9297,C098,2020-07-16,07:07:24,City3,Merchant26,T00334,purchase,2020,7,16
169.58008,GBP,215.3667,C002,2020-07-20,11:27:17,City3,Merchant22,T00059,withdrawal,2020,7,20
7330.4663,EUR,7990.208,C041,2020-07-23,21:59:33,City4,Merchant27,T00637,withdrawal,2020,7,23
789.68555,EUR,860.75726,C034,2020-07-24,05:31:46,City3,Merchant25,T00519,withdrawal,2020,7,24
7691.489,GBP,9768.191,C078,2020-07-25,11:36:12,City7,Merchant29,T00960,purchase,2020,7,25
24.378218,USD,24.378218,C036,2020-07-28,13:24:43,City8,Merchant29,T00066,withdrawal,2020,7,28
245.67856,GBP,312.01175,C014,2020-07-28,10:21:09,City3,Merchant22,T00851,purchase,2020,7,28
299.70367,EUR,326.67703,C018,2020-07-06,18:55:11,City3,Merchant25,T00977,withdrawal,2020,7,6
345.06604,GBP,438.23386,C096,2020-07-07,19:55:49,City1,Merchant23,T00388,purchase,2020,7,7
7291.3345,USD,7291.3345,C043,2020-07-07,04:43:05,City1,Merchant25,T00792,purchase,2020,7,7
189.29648,USD,189.29648,C012,2020-08-13,16:33:47,City6,Merchant23,T00546,withdrawal,2020,8,13
4730.4175,GBP,6007.6304,C067,2020-08-14,15:35:38,City2,Merchant28,T00081,withdrawal,2020,8,14
299.00705,EUR,325.91766,C007,2020-08-02,01:58:42,City2,Merchant29,T00238,purchase,2020,8,2
6878.0117,USD,6878.0117,C019,2020-08-22,09:51:05,City1,Merchant26,T00146,purchase,2020,8,22
8038.022,GBP,10208.288,C033,2020-08-24,17:14:03,City8,Merchant21,T00483,purchase,2020,8,24
839.1246,USD,839.1246,C059,2020-08-25,14:30:34,City3,Merchant22,T00122,withdrawal,2020,8,25
496.06107,GBP,629.99756,C069,2020-08-28,08:23:27,City2,Merchant30,T00991,purchase,2020,8,28
24.276953,EUR,26.461878,C064,2020-08-03,22:40:56,City10,Merchant25,T00545,purchase,2020,8,3
330.37057,EUR,360.1039,C041,2020-09-10,09:51:09,City1,Merchant24,T00714,withdrawal,2020,9,10
1072.0122,GBP,1361.4556,C006,2020-09-11,00:07:31,City4,Merchant21,T00257,withdrawal,2020,9,11
8373.562,USD,8373.562,C085,2020-09-12,20:37:39,City9,Merchant21,T00534,withdrawal,2020,9,12
2972.8252,GBP,3775.488,C067,2020-09-17,08:13:42,City6,Merchant23,T00289,purchase,2020,9,17
7916.9717,USD,7916.9717,C060,2020-09-18,16:40:32,City7,Merchant30,T00875,withdrawal,2020,9,18
895.7535,EUR,976.37134,C026,2020-09-02,06:19:49,City10,Merchant21,T00044,purchase,2020,9,2
179.21873,EUR,195.34842,C015,2020-09-24,21:09:47,City3,Merchant21,T00669,purchase,2020,9,24
391.04877,EUR,426.24313,C029,2020-09-24,00:12:11,City10,Merchant26,T00720,purchase,2020,9,24
3185.2466,EUR,3471.919,C010,2020-09-25,21:59:34,City7,Merchant30,T00054,purchase,2020,9,25
729.78046,USD,729.78046,C013,2020-09-03,17:18:03,City3,Merchant23,T00697,purchase,2020,9,3
388.1543,EUR,423.08817,C078,2020-09-30,01:22:08,City10,Merchant29,T00170,purchase,2020,9,30
692.5913,GBP,879.591,C084,2020-09-30,20:15:24,City10,Merchant22,T00312,withdrawal,2020,9,30
599.8006,USD,599.8006,C073,2020-09-04,21:49:24,City4,Merchant24,T00352,purchase,2020,9,4
6972.997,EUR,7600.567,C028,2020-09-04,17:18:21,City4,Merchant27,T00990,purchase,2020,9,4
7503.0825,GBP,9528.915,C030,2021-10-20,08:20:26,City9,Merchant23,T00180,withdrawal,2021,10,20
24.664923,GBP,31.324451,C037,2021-10-28,16:41:33,City9,Merchant23,T00396,purchase,2021,10,28
496.20453,USD,496.20453,C078,2021-10-04,17:32:22,City3,Merchant28,T00767,purchase,2021,10,4
377.05127,EUR,410.98587,C087,2021-10-08,10:10:30,City4,Merchant22,T00464,withdrawal,2021,10,8
68.10992,EUR,74.23981,C033,2021-11-01,10:05:07,City2,Merchant24,T00474,withdrawal,2021,11,1
4185.514,USD,4185.514,C012,2021-11-11,04:16:50,City2,Merchant29,T00864,purchase,2021,11,11
4482.944,USD,4482.944,C034,2021-11-17,22:04:18,City6,Merchant30,T00126,withdrawal,2021,11,17
818.9782,EUR,892.6862,C079,2021-11-17,13:47:40,City9,Merchant21,T00793,withdrawal,2021,11,17
302.986,USD,302.986,C075,2021-11-17,06:24:38,City3,Merchant26,T00869,withdrawal,2021,11,17
4684.322,EUR,5105.9106,C011,2021-11-26,21:06:52,City9,Merchant21,T00802,withdrawal,2021,11,26
3813.2656,EUR,4156.4595,C015,2021-11-03,18:49:15,City4,Merchant26,T00231,purchase,2021,11,3
4935.995,EUR,5380.2344,C074,2021-12-12,17:12:17,City6,Merchant21,T00716,withdrawal,2021,12,12
6544.239,USD,6544.239,C095,2021-12-16,20:01:37,City4,Merchant25,T00766,purchase,2021,12,16
126.032616,GBP,160.06142,C040,2021-12-18,00:19:59,City9,Merchant30,T00940,purchase,2021,12,18
763.5038,USD,763.5038,C020,2021-12-02,12:13:59,City9,Merchant27,T00280,purchase,2021,12,2
509.36594,EUR,555.20886,C079,2021-12-20,10:23:58,City4,Merchant23,T00073,purchase,2021,12,20
719.46655,GBP,913.72253,C075,2021-12-24,03:51:10,City2,Merchant25,T00759,withdrawal,2021,12,24
960.4423,USD,960.4423,C061,2021-12-27,12:37:11,City6,Merchant29,T00704,purchase,2021,12,27
5298.809,GBP,6729.488,C047,2021-12-29,19:10:01,City4,Merchant30,T00993,purchase,2021,12,29
42.723145,EUR,46.568226,C037,2021-12-03,05:05:35,City3,Merchant29,T00685,purchase,2021,12,3
5960.381,EUR,6496.8154,C057,2021-12-04,08:47:21,City8,Merchant24,T00363,purchase,2021,12,4
140.00627,USD,140.00627,C046,2021-01-16,05:34:28,City1,Merchant23,T00578,purchase,2021,1,16
4130.2373,USD,4130.2373,C067,2021-01-19,08:34:14,City9,Merchant26,T00019,purchase,2021,1,19
2709.1272,GBP,3440.5913,C026,2021-01-26,06:14:48,City9,Merchant29,T00887,purchase,2021,1,26
9107.681,EUR,9927.372,C047,2021-01-27,14:54:42,City7,Merchant29,T00831,withdrawal,2021,1,27
631.92065,USD,631.92065,C005,2021-01-28,14:07:19,City3,Merchant29,T00764,purchase,2021,1,28
301.77747,GBP,383.25735,C082,2021-01-06,18:13:46,City7,Merchant25,T00626,withdrawal,2021,1,6
233.02762,GBP,295.9451,C087,2021-01-06,21:55:46,City7,Merchant24,T00763,purchase,2021,1,6
4613.343,EUR,5028.5435,C032,2021-01-06,08:24:12,City5,Merchant25,T00932,withdrawal,2021,1,6
416.61917,EUR,454.1149,C039,2021-02-01,22:02:02,City9,Merchant27,T00068,purchase,2021,2,1
923.17346,EUR,1006.2591,C025,2021-02-11,08:32:47,City7,Merchant26,T00687,withdrawal,2021,2,11
748.8686,GBP,951.0631,C016,2021-02-13,05:45:09,City6,Merchant26,T00482,purchase,2021,2,13
7665.639,USD,7665.639,C035,2021-02-14,01:25:36,City2,Merchant23,T00367,withdrawal,2021,2,14
9396.407,USD,9396.407,C060,2021-02-20,12:34:55,City8,Merchant25,T00371,purchase,2021,2,20
508.07782,EUR,553.8048,C024,2021-02-24,15:08:57,City9,Merchant22,T00314,withdrawal,2021,2,24
458.4217,EUR,499.67966,C009,2021-02-03,08:28:22,City7,Merchant24,T00471,withdrawal,2021,2,3
7150.6235,GBP,9081.292,C000,2021-02-03,12:26:32,City10,Merchant30,T00569,withdrawal,2021,2,3
7108.672,EUR,7748.4526,C056,2021-02-03,00:23:23,City2,Merchant21,T00849,withdrawal,2021,2,3
6018.1616,USD,6018.1616,C002,2021-02-05,15:48:55,City10,Merchant28,T00735,withdrawal,2021,2,5
435.4893,GBP,553.0714,C076,2021-03-01,21:39:25,City1,Merchant27,T00901,purchase,2021,3,1
299.17554,GBP,379.95294,C072,2021-03-12,02:14:22,City10,Merchant22,T00453,withdrawal,2021,3,12
4437.009,EUR,4836.3394,C066,2021-03-13,00:59:39,City8,Merchant30,T00454,withdrawal,2021,3,13
1594.791,EUR,1738.3223,C065,2021-03-16,15:56:10,City6,Merchant22,T00788,withdrawal,2021,3,16
9757.481,USD,9757.481,C080,2021-03-16,09:29:09,City10,Merchant22,T00915,purchase,2021,3,16
8173.5166,GBP,10380.366,C069,2021-03-22,17:14:27,City9,Merchant21,T00320,purchase,2021,3,22
9786.936,GBP,12429.408,C000,2021-03-23,04:42:27,City9,Merchant23,T00357,purchase,2021,3,23
1325.4257,GBP,1683.2905,C060,2021-03-28,06:48:32,City5,Merchant26,T00080,withdrawal,2021,3,28
142.31938,GBP,180.74562,C013,2021-03-31,07:54:30,City6,Merchant26,T00652,withdrawal,2021,3,31
969.46814,GBP,1231.2245,C042,2021-04-01,17:28:26,City7,Merchant25,T00739,purchase,2021,4,1
565.4053,EUR,616.29175,C085,2021-04-15,03:42:01,City5,Merchant22,T00964,withdrawal,2021,4,15
4434.6123,GBP,5631.958,C069,2021-04-24,05:15:46,City8,Merchant24,T00922,withdrawal,2021,4,24
7726.9307,USD,7726.9307,C051,2021-04-26,10:10:49,City3,Merchant23,T00260,withdrawal,2021,4,26
508.31195,GBP,645.5562,C086,2021-04-27,00:35:26,City2,Merchant21,T00206,withdrawal,2021,4,27
2619.6025,EUR,2855.3667,C091,2021-04-28,02:01:29,City6,Merchant30,T00427,withdrawal,2021,4,28
1673.3975,GBP,2125.2146,C040,2021-04-03,10:46:09,City3,Merchant23,T00399,purchase,2021,4,3
264.92554,EUR,288.76883,C030,2021-04-06,18:30:58,City8,Merchant24,T00299,withdrawal,2021,4,6
949.5391,GBP,1205.9147,C068,2021-04-06,08:52:48,City6,Merchant28,T00850,purchase,2021,4,6
938.8948,EUR,1023.39526,C071,2021-04-07,18:33:08,City9,Merchant28,T00197,purchase,2021,4,7
770.0982,GBP,978.0247,C055,2021-04-07,02:54:13,City2,Merchant21,T00675,purchase,2021,4,7
1728.6123,EUR,1884.1874,C086,2021-04-08,14:18:20,City2,Merchant29,T00355,purchase,2021,4,8
5472.225,USD,5472.225,C084,2021-05-11,13:46:20,City5,Merchant24,T00883,purchase,2021,5,11
430.322,GBP,546.5089,C016,2021-05-17,15:41:17,City2,Merchant23,T00308,withdrawal,2021,5,17
410.981,USD,410.981,C027,2021-05-21,07:09:23,City10,Merchant22,T00360,purchase,2021,5,21
4411.4263,GBP,5602.5117,C016,2021-05-22,19:28:28,City7,Merchant26,T00225,purchase,2021,5,22
271.42267,EUR,295.8507,C070,2021-05-25,02:54:01,City4,Merchant21,T00504,withdrawal,2021,5,25
9244.88,USD,9244.88,C010,2021-05-28,19:03:29,City2,Merchant28,T00816,purchase,2021,5,28
921.8311,EUR,1004.7959,C072,2021-05-03,08:59:48,City9,Merchant25,T00989,purchase,2021,5,3
7864.5957,USD,7864.5957,C010,2021-05-30,16:22:18,City8,Merchant29,T00635,withdrawal,2021,5,30
583.3781,GBP,740.8902,C037,2021-05-31,15:52:36,City10,Merchant30,T00930,purchase,2021,5,31
7803.772,GBP,9910.79,C026,2021-05-07,23:43:29,City10,Merchant26,T00102,purchase,2021,5,7
154.03915,USD,154.03915,C090,2021-05-08,22:22:20,City5,Merchant29,T00615,purchase,2021,5,8
6210.778,EUR,6769.748,C020,2021-06-10,01:36:10,City6,Merchant21,T00095,withdrawal,2021,6,10
872.297,EUR,950.8037,C061,2021-06-12,13:11:08,City4,Merchant25,T00390,purchase,2021,6,12
336.95987,GBP,427.93903,C059,2021-06-16,15:23:10,City5,Merchant27,T00941,purchase,2021,6,16
3809.812,GBP,4838.4614,C053,2021-06-05,05:10:10,City8,Merchant30,T00145,purchase,2021,6,5
353.17148,USD,353.17148,C019,2021-06-09,15:05:48,City10,Merchant30,T00667,withdrawal,2021,6,9
753.3697,USD,753.3697,C029,2021-07-11,05:44:07,City2,Merchant28,T00737,purchase,2021,7,11
3391.5718,EUR,3696.8132,C034,2021-07-13,19:06:53,City6,Merchant30,T00446,purchase,2021,7,13
9934.478,GBP,12616.786,C050,2021-07-16,02:21:38,City1,Merchant23,T00099,purchase,2021,7,16
980.1562,EUR,1068.3702,C016,2021-07-16,12:24:40,City6,Merchant27,T00514,purchase,2021,7,16
685.63727,EUR,747.3446,C099,2021-07-02,23:30:56,City1,Merchant30,T00726,withdrawal,2021,7,2
4938.2046,GBP,6271.52,C028,2021-07-22,16:21:11,City9,Merchant28,T00773,withdrawal,2021,7,22
7533.6055,USD,7533.6055,C081,2021-07-24,17:00:41,City10,Merchant28,T00394,purchase,2021,7,24
459.27136,GBP,583.2746,C069,2021-07-25,13:14:16,City3,Merchant26,T00086,purchase,2021,7,25
2341.0713,EUR,2551.7676,C078,2021-07-31,02:17:23,City10,Merchant29,T00961,purchase,2021,7,31
667.128,GBP,847.2525,C086,2021-07-04,07:47:29,City6,Merchant25,T00648,purchase,2021,7,4
9191.673,GBP,11673.424,C054,2021-07-04,06:18:32,City9,Merchant21,T00715,purchase,2021,7,4
5202.9023,EUR,5671.1636,C035,2021-07-06,15:34:15,City2,Merchant23,T00447,purchase,2021,7,6
2420.574,EUR,2638.4258,C078,2021-07-07,06:08:52,City6,Merchant23,T00015,withdrawal,2021,7,7
540.0706,EUR,588.67694,C025,2021-07-07,16:23:49,City4,Merchant28,T00037,withdrawal,2021,7,7
2525.0518,EUR,2752.3064,C087,2021-08-14,20:27:29,City1,Merchant22,T00302,purchase,2021,8,14
741.5373,GBP,941.7523,C026,2021-08-15,04:54:53,City3,Merchant23,T00609,purchase,2021,8,15
9121.982,EUR,9942.96,C018,2021-08-20,21:49:41,City4,Merchant22,T00074,purchase,2021,8,20
511.62216,EUR,557.66815,C000,2021-08-20,23:53:46,City9,Merchant26,T00291,withdrawal,2021,8,20
344.59183,GBP,437.63162,C054,2021-08-23,17:08:04,City2,Merchant27,T00013,withdrawal,2021,8,23
7606.24,EUR,8290.802,C061,2021-08-23,08:40:36,City4,Merchant25,T00772,withdrawal,2021,8,23
893.8091,GBP,1135.1376,C086,2021-08-29,15:25:50,City2,Merchant28,T00843,withdrawal,2021,8,29
9283.678,EUR,10119.209,C000,2021-08-06,10:47:37,City1,Merchant28,T00472,withdrawal,2021,8,6
301.58075,EUR,328.72302,C043,2021-09-10,01:33:37,City10,Merchant22,T00318,purchase,2021,9,10
662.15155,USD,662.15155,C033,2021-09-11,04:49:35,City5,Merchant22,T00230,purchase,2021,9,11
4587.846,USD,4587.846,C062,2021-09-13,20:52:43,City8,Merchant26,T00332,withdrawal,2021,9,13
177.59492,GBP,225.54556,C040,2021-09-15,05:07:59,City1,Merchant24,T00574,withdrawal,2021,9,15
858.9145,USD,858.9145,C097,2021-09-15,00:50:50,City9,Merchant25,T00640,purchase,2021,9,15
420.27383,GBP,533.74774,C003,2021-09-23,06:20:06,City7,Merchant21,T00664,purchase,2021,9,23
834.9351,GBP,1060.3676,C080,2021-09-25,04:16:52,City1,Merchant30,T00877,withdrawal,2021,9,25
282.6848,USD,282.6848,C029,2021-09-29,17:58:29,City4,Merchant26,T00430,purchase,2021,9,29
745.0963,GBP,946.2723,C015,2021-09-08,14:32:40,City8,Merchant23,T00442,purchase,2021,9,8
497.17755,USD,497.17755,C084,2022-10-10,23:41:29,City4,Merchant28,T00287,withdrawal,2022,10,10
609.3854,EUR,664.23004,C095,2022-10-10,21:48:38,City2,Merchant29,T00871,withdrawal,2022,10,10
727.42377,GBP,923.8282,C044,2022-10-13,15:21:31,City8,Merchant25,T00747,withdrawal,2022,10,13
399.53455,EUR,435.49265,C002,2022-10-02,14:26:24,City10,Merchant22,T00959,withdrawal,2022,10,2
6015.181,EUR,6556.548,C034,2022-10-21,20:25:30,City2,Merchant30,T00036,withdrawal,2022,10,21
166.6321,USD,166.6321,C020,2022-10-21,14:58:51,City10,Merchant29,T00202,withdrawal,2022,10,21
728.73975,USD,728.73975,C013,2022-10-24,02:16:27,City1,Merchant25,T00413,withdrawal,2022,10,24
2730.4817,USD,2730.4817,C004,2022-10-31,21:38:28,City7,Merchant29,T00368,purchase,2022,10,31
6554.567,USD,6554.567,C083,2022-10-04,16:45:34,City9,Merchant29,T00974,purchase,2022,10,4
583.97284,GBP,741.6455,C072,2022-11-10,13:08:39,City1,Merchant30,T00449,withdrawal,2022,11,10
2722.0576,USD,2722.0576,C018,2022-11-11,07:19:19,City1,Merchant24,T00116,withdrawal,2022,11,11
7068.7363,GBP,8977.295,C027,2022-11-11,20:37:11,City10,Merchant27,T00914,purchase,2022,11,11
6267.3257,EUR,6831.385,C054,2022-11-14,01:50:21,City3,Merchant25,T00948,purchase,2022,11,14
328.20026,EUR,357.73828,C046,2022-11-28,21:50:44,City4,Merchant27,T00733,withdrawal,2022,11,28
108.43301,EUR,118.19198,C076,2022-11-04,17:04:37,City8,Merchant23,T00292,purchase,2022,11,4
690.0499,GBP,876.3634,C084,2022-11-07,03:14:40,City4,Merchant25,T00748,withdrawal,2022,11,7
293.87207,USD,293.87207,C023,2022-11-09,01:11:08,City2,Merchant30,T00980,purchase,2022,11,9
481.92877,GBP,612.04956,C096,2022-12-10,08:21:57,City1,Merchant21,T00139,withdrawal,2022,12,10
973.3526,USD,973.3526,C079,2022-12-13,22:38:44,City4,Merchant29,T00014,purchase,2022,12,13
7558.66,USD,7558.66,C058,2022-12-13,21:01:07,City7,Merchant24,T00167,withdrawal,2022,12,13
748.75653,EUR,816.14465,C072,2022-12-16,06:56:10,City9,Merchant26,T00757,purchase,2022,12,16
335.63535,USD,335.63535,C067,2022-12-17,15:26:06,City7,Merchant26,T00896,purchase,2022,12,17
217.89606,USD,217.89606,C083,2022-12-02,19:59:52,City3,Merchant24,T00411,withdrawal,2022,12,2
456.7081,GBP,580.0193,C016,2022-12-21,06:59:57,City3,Merchant21,T00616,purchase,2022,12,21
6693.923,EUR,7296.376,C079,2022-12-27,21:38:02,City6,Merchant25,T00164,withdrawal,2022,12,27
